Name  1900  1910  1920  1930  1940  1950  1960  1970  1980  1990  2000  2010  
Bell  394  558  948  0  0  0  0  0  0  0  0  0  
Bella  421  460  457  654  0  0  0  0  0  0  0  163  
Belle  170  225  336  611  0  0  0  0  0  0  0  0  
Belva  505  480  522  547  542  774  0  0  0  0  0  0  
Benita  0  0  936  895  652  739  519  520  869  0  0  0  
Berdie  950  0  0  0  0  0  0  0  0  0  0  0  
Berenice  611  682  722  0  0  0  0  0  0  0  786  0  
Bernadette  470  427  375  358  328  235  253  282  395  631  0  0  
Bernadine  679  417  310  287  308  435  558  815  0  0  0  0  
Bernardine  0  999  879  859  897  0  0  0  0  0  0  0  
Berneice  0  764  628  724  984  0  0  0  0  0  0  0  
Bernice  108  70  42  48  93  159  268  407  677  0  0  0  
Berniece  660  411  309  376  584  0  0  0  0  0  0  0  
Bernita  0  0  864  847  853  0  0  0  0  0  0  0  
Berta  461  523  699  671  664  902  0  0  0  0  0  0  
Bertha  12  24  47  75  121  164  259  418  638  970  0  0  
Bertie  207  242  346  409  503  836  0  0  0  0  0  0  
Beryl  451  407  408  472  548  725  993  0  0  0  0  0  
Bess  221  344  604  958  0  0  0  0  0  0  0  0  
Besse  704  0  0  0  0  0  0  0  0  0  0  0  
Bessie  16  27  57  91  136  216  385  661  0  0  0  0  
Beth  605  590  374  394  338  222  114  68  113  213  727  0  
Bethany  0  0  0  0  0  0  777  469  190  96  119  229  
Bethel  791  706  681  746  908  0  0  0  0  0  0  0  
Betsy  739  836  630  414  304  269  254  327  400  543  0  0  
Bette  0  0  312  169  233  280  525  0  0  0  0  0  
Bettie  233  288  284  192  208  288  548  0  0  0  0  0  
Bettina  0  0  0  0  0  0  0  828  0  0  0  0  
Betty  129  83  33  3  3  11  40  115  250  461  871  0  
Bettye  0  0  771  288  239  281  602  0  0  0  0  0  
Beula  940  0  0  0  0  0  0  0  0  0  0  0  
Beulah  77  77  97  145  216  379  786  0  0  0  0  0  
Beverlee  0  0  0  0  945  0  0  0  0  0  0  0  
Beverley  0  0  0  471  339  422  621  0  0  0  0  0  
Beverly  0  770  276  78  20  30  42  96  224  443  709  0  
Bianca  0  0  0  0  0  0  0  0  520  182  120  183  
Billie  539  323  253  127  116  160  252  324  266  550  969  0  
Billye  0  0  0  668  782  0  0  0  0  0  0  0  
Birdie  211  271  389  479  591  906  0  0  0  0  0  0  
Birtha  917  787  0  0  0  0  0  0  0  0  0  0  
Birtie  894  972  0  0  0  0  0  0  0  0  0  0  
Blair  0  0  0  0  0  0  0  0  0  475  682  0  
Blanca  0  0  0  0  0  0  564  573  466  476  516  867  
Blanch  326  374  500  613  851  0  0  0  0  0  0  0  
Blanche  56  64  91  141  242  387  584  0  0  0  0  0  
Blossom  0  0  0  864  0  0  0  0  0  0  0  0  
Bobbi  0  0  0  0  0  0  537  425  345  505  896  0  
Bobbie  715  519  413  214  125  162  235  297  254  398  784  0  
Bobbye  0  0  0  883  644  0  0  0  0  0  0  0  
Bonita  0  850  690  520  377  203  244  387  898  0  0  0  
Bonnie  224  191  173  111  57  32  54  94  176  242  604  0  
Bonny  0  0  0  0  0  769  672  0  0  0  0  0  
Braelyn  0  0  0  0  0  0  0  0  0  0  0  836  
Brandee  0  0  0  0  0  0  0  0  733  941  0  0  
Brandi  0  0  0  0  0  0  0  699  95  70  162  786  
Brandie  0  0  0  0  0  0  0  0  365  382  834  0  
Brandy  0  0  0  0  0  0  0  764  65  72  219  738  
Breana  0  0  0  0  0  0  0  0  0  0  437  855  
Breann  0  0  0  0  0  0  0  0  0  968  843  0  
Breanna  0  0  0  0  0  0  0  0  0  266  85  131  
Breanne  0  0  0  0  0  0  0  0  0  539  615  0  
Bree  0  0  0  0  0  0  0  0  830  0  0  0  
Brenda  0  0  0  0  191  22  17  21  70  117  129  241  
Brenna  0  0  0  0  0  0  0  0  803  491  299  366  
Breonna  0  0  0  0  0  0  0  0  0  0  875  0  
Bria  0  0  0  0  0  0  0  0  0  0  389  841  
Briana  0  0  0  0  0  0  0  0  620  207  81  128  
Brianna  0  0  0  0  0  0  0  0  679  134  22  19  
Brianne  0  0  0  0  0  0  0  0  562  316  425  0  
Bridget  492  639  755  887  860  720  344  220  148  170  203  337  
Bridgett  0  0  0  0  0  0  0  546  525  701  0  0  
Bridgette  0  0  0  0  0  0  941  426  449  452  600  0  
Brielle  0  0  0  0  0  0  0  0  0  0  723  403  
Brigette  0  0  0  0  0  0  0  887  0  0  0  0  
Brigitte  0  0  0  0  0  0  0  657  0  0  0  0  
Briley  0  0  0  0  0  0  0  0  0  0  0  935  
Brionna  0  0  0  0  0  0  0  0  0  0  888  0  
Brisa  0  0  0  0  0  0  0  0  0  0  0  641  
Britany  0  0  0  0  0  0  0  0  0  733  907  0  
Britney  0  0  0  0  0  0  0  0  0  225  235  400  
Britni  0  0  0  0  0  0  0  0  0  706  0  0  
Brittaney  0  0  0  0  0  0  0  0  0  984  0  0  
Brittani  0  0  0  0  0  0  0  0  0  393  494  0  
Brittanie  0  0  0  0  0  0  0  0  0  805  908  0  
Brittany  0  0  0  0  0  0  0  0  436  11  10  244  
Brittney  0  0  0  0  0  0  0  0  880  77  97  519  
Brittni  0  0  0  0  0  0  0  0  0  626  804  0  
Brittny  0  0  0  0  0  0  0  0  0  885  0  0  
Brook  0  0  0  0  0  0  0  0  707  825  713  0  
Brooke  0  0  0  0  0  0  0  598  150  87  55  48  
Brooklyn  0  0  0  0  0  0  0  0  0  0  282  76  
Brooklynn  0  0  0  0  0  0  0  0  0  0  742  242  
Bryana  0  0  0  0  0  0  0  0  0  0  854  0  
Bryanna  0  0  0  0  0  0  0  0  0  0  370  422  
Brylee  0  0  0  0  0  0  0  0  0  0  0  753  
Brynn  0  0  0  0  0  0  0  0  0  912  897  381  
Buelah  0  977  0  0  0  0  0  0  0  0  0  0  
Buena  956  0  0  0  0  0  0  0  0  0  0  0  
Buffy  0  0  0  0  0  0  0  0  740  0  0  0  
Bulah  627  562  729  791  0  0  0  0  0  0  0  0  
Cadence  0  0  0  0  0  0  0  0  0  0  0  272  
Cailyn  0  0  0  0  0  0  0  0  0  0  0  963  
Caitlin  0  0  0  0  0  0  0  0  802  73  74  178  
Caitlyn  0  0  0  0  0  0  0  0  0  385  137  184  
Caitlynn  0  0  0  0  0  0  0  0  0  0  994  0  
Cali  0  0  0  0  0  0  0  0  0  0  0  580  
Calista  0  0  0  0  0  0  0  0  0  0  0  977  
Callie  185  222  319  400  486  670  913  0  777  403  309  288  
Camila  0  0  0  0  0  0  0  0  0  0  0  164  
Camilla  573  615  601  646  646  659  852  830  0  0  0  757  
Camille  516  494  502  565  444  340  417  404  398  331  269  275  
Campbell  0  0  0  0  0  0  0  0  0  0  0  815  
Camryn  0  0  0  0  0  0  0  0  0  0  493  233  
Candace  0  0  0  0  0  248  227  274  197  112  292  957  
Candi  0  0  0  0  0  0  0  805  700  867  0  0  
Candice  0  0  0  0  0  434  383  471  187  100  349  0  
Candida  0  0  0  0  0  0  0  0  948  0  0  0  
